strategy,budget,instances,optimal,suboptimal,optimal_percent,avg_terminals,avg_roots,avg_workers,avg_dangers,avg_ratio,worst_ratio,avg_speedup
random_n_nearest_capital,15,20,15,5,0.75,10.0,6.2,9.0,1.0,1.007,1.047,3319.792
random_n_nearest_capital,20,20,17,3,0.85,12.0,7.55,12.0,0.0,1.002,1.026,3499.974
random_n_nearest_capital,20,20,16,4,0.8,13.0,7.55,12.0,1.0,1.005,1.049,4087.606
random_n_nearest_capital,25,20,11,9,0.55,16.0,8.95,16.0,0.0,1.005,1.022,4254.551
random_n_nearest_capital,25,20,14,6,0.7,17.0,8.95,16.0,1.0,1.005,1.036,5672.061
random_n_nearest_capital,30,20,10,10,0.5,16.0,9.2,16.0,0.0,1.007,1.029,6556.802
random_n_nearest_capital,30,20,11,9,0.55,17.0,9.2,16.0,1.0,1.006,1.028,9150.233
random_n_nearest_capital,35,20,13,7,0.65,19.0,8.9,19.0,0.0,1.004,1.022,8785.73
random_n_nearest_capital,35,20,11,9,0.55,20.0,8.9,19.0,1.0,1.005,1.021,10926.995
random_n_nearest_capital,40,20,6,14,0.3,22.0,10.2,22.0,0.0,1.007,1.022,14347.23
random_n_nearest_capital,40,20,7,13,0.35,23.0,10.2,22.0,1.0,1.007,1.022,21124.063
random_n_nearest_capital,45,20,12,8,0.6,25.0,10.45,25.0,0.0,1.005,1.026,10554.421
random_n_nearest_capital,45,20,11,9,0.55,26.0,10.45,25.0,1.0,1.005,1.026,11745.811
random_n_nearest_town,5,20,20,0,1.0,3.0,2.95,3.0,0.0,1.0,1.0,137.547
random_n_nearest_town,5,20,20,0,1.0,4.0,2.95,3.0,1.0,1.0,1.0,157.24
random_n_nearest_town,10,20,20,0,1.0,6.0,5.5,6.0,0.0,1.0,1.0,300.051
random_n_nearest_town,10,20,20,0,1.0,7.0,5.5,6.0,1.0,1.0,1.0,370.114
random_n_nearest_town,15,20,20,0,1.0,9.0,8.0,9.0,0.0,1.0,1.0,588.387
random_n_nearest_town,15,20,20,0,1.0,10.0,8.0,9.0,1.0,1.0,1.0,868.524
random_n_nearest_town,20,20,18,2,0.9,12.0,9.65,12.0,0.0,1.002,1.03,822.861
random_n_nearest_town,20,20,18,2,0.9,13.0,9.65,12.0,1.0,1.002,1.029,928.919
random_n_nearest_town,25,20,17,3,0.85,16.0,12.25,16.0,0.0,1.001,1.01,2458.062
random_n_nearest_town,25,20,17,3,0.85,17.0,12.25,16.0,1.0,1.001,1.01,2393.004
random_n_nearest_town,30,20,18,2,0.9,16.0,12.75,16.0,0.0,1.003,1.039,1861.798
random_n_nearest_town,30,20,16,4,0.8,17.0,12.75,16.0,1.0,1.003,1.038,2381.291
random_n_nearest_town,35,20,18,2,0.9,19.0,14.05,19.0,0.0,1.001,1.014,4059.799
random_n_nearest_town,35,20,18,2,0.9,20.0,14.05,19.0,1.0,1.001,1.013,3461.284
random_n_nearest_town,40,20,16,4,0.8,22.0,15.55,22.0,0.0,1.003,1.019,8135.086
random_n_nearest_town,40,20,16,4,0.8,23.0,15.55,22.0,1.0,1.004,1.038,8080.064
random_n_nearest_town,45,20,17,3,0.85,25.0,16.8,25.0,0.0,1.001,1.007,10990.688
